,precision,recall,f1-score,support
Driving Without License,0.14423076923076922,0.16666666666666666,0.15463917525773196,90.0
Drunk Driving,0.14942528735632185,0.1326530612244898,0.14054054054054055,98.0
No Helmet,0.14545454545454545,0.17391304347826086,0.15841584158415842,92.0
No Seatbelt,0.15463917525773196,0.17045454545454544,0.16216216216216217,88.0
Over-speeding,0.10638297872340426,0.1111111111111111,0.10869565217391304,90.0
Overloading,0.1,0.1,0.1,80.0
Signal Jumping,0.13253012048192772,0.12359550561797752,0.12790697674418605,89.0
Using Mobile Phone,0.11267605633802817,0.0975609756097561,0.10457516339869281,82.0
Wrong Parking,0.14864864864864866,0.12087912087912088,0.13333333333333333,91.0
accuracy,0.13375,0.13375,0.13375,0.13375
macro avg,0.13266528683237527,0.1329815588935476,0.13225209391052425,800.0
weighted avg,0.13343828181366335,0.13375,0.13301231600011568,800.0
